name,CAS,Quantity,Value,Units,Method,Reference,Comment
n-Octadecane,593-45-3,Tfus,301.0 ± 0.7,K,AVG,N/A,Average of 35 out of 37 values;Individual data points
n-Octadecane,593-45-3,Quantity,Value,Units,Method,Reference,Comment
n-Octadecane,593-45-3,Ttriple,301.,K,N/A,"Messerly, Guthrie, et al., 1967",Uncertainty assigned by TRC =  0.04 K;TRC
n-Octadecane,593-45-3,Ttriple,301.3,K,N/A,"Parks, Moore, et al., 1949",Uncertainty assigned by TRC =  0.2 K;TRC
n-Octadecane,593-45-3,Quantity,Value,Units,Method,Reference,Comment
n-Octadecane,593-45-3,Tc,747. ± 3.,K,N/A,"Ambrose and Tsonopoulos, 1995",
n-Octadecane,593-45-3,Tc,745.8,K,N/A,"Anselme, Gude, et al., 1990",Uncertainty assigned by TRC =  3.4 K;TRC
n-Octadecane,593-45-3,Tc,747.7,K,N/A,"Rosenthal and Teja, 1989",Uncertainty assigned by TRC =  1. K;TRC
n-Octadecane,593-45-3,Tc,747.2,K,N/A,"Teja, Lee, et al., 1989",TRC
n-Octadecane,593-45-3,Tc,756.15,K,N/A,"Ambrose, 1963",Uncertainty assigned by TRC =  0.005 K;TRC
n-Octadecane,593-45-3,Quantity,Value,Units,Method,Reference,Comment
n-Octadecane,593-45-3,Pc,13. ± 2.,bar,N/A,"Ambrose and Tsonopoulos, 1995",
n-Octadecane,593-45-3,Pc,12.92,bar,N/A,"Rosenthal and Teja, 1989",Uncertainty assigned by TRC =  1.10 bar;TRC
n-Octadecane,593-45-3,Quantity,Value,Units,Method,Reference,Comment
n-Octadecane,593-45-3,Vc,1.189,l/mol,N/A,"Ambrose and Tsonopoulos, 1995",
n-Octadecane,593-45-3,Quantity,Value,Units,Method,Reference,Comment
n-Octadecane,593-45-3,ρc,0.8 ± 0.2,mol/l,N/A,"Ambrose and Tsonopoulos, 1995",
n-Octadecane,593-45-3,ρc,0.841,mol/l,N/A,"Anselme, Gude, et al., 1990",Uncertainty assigned by TRC =  0.02 mol/l;TRC
n-Octadecane,593-45-3,Quantity,Value,Units,Method,Reference,Comment
n-Octadecane,593-45-3,ΔvapH°,92. ± 1.,kJ/mol,AVG,N/A,Average of 8 values;Individual data points
n-Octadecane,593-45-3,Quantity,Value,Units,Method,Reference,Comment
n-Octadecane,593-45-3,ΔsubH°,152.7,kJ/mol,C,"Morawetz, 1972",AC
n-Nonadecane,629-92-5,Tboil,602.9,K,N/A,"Weast and Grasselli, 1989",BS
n-Nonadecane,629-92-5,Tboil,601.7,K,N/A,"Ivanov, Ivanov, et al., 1954",Uncertainty assigned by TRC =  1.5 K;TRC
n-Nonadecane,629-92-5,Quantity,Value,Units,Method,Reference,Comment
n-Nonadecane,629-92-5,Tfus,304. ± 3.,K,AVG,N/A,Average of 10 values;Individual data points
n-Nonadecane,629-92-5,Quantity,Value,Units,Method,Reference,Comment
n-Nonadecane,629-92-5,Tc,755. ± 8.,K,N/A,"Ambrose and Tsonopoulos, 1995",
n-Nonadecane,629-92-5,Tc,755.3,K,N/A,"Nikitin, Pavlov, et al., 1994",Uncertainty assigned by TRC =  3. K;TRC
n-Nonadecane,629-92-5,Quantity,Value,Units,Method,Reference,Comment
n-Nonadecane,629-92-5,Pc,12. ± 2.,bar,N/A,"Ambrose and Tsonopoulos, 1995",
n-Nonadecane,629-92-5,Pc,11.60,bar,N/A,"Nikitin, Pavlov, et al., 1994",Uncertainty assigned by TRC =  0.40 bar;TRC
n-Nonadecane,629-92-5,Quantity,Value,Units,Method,Reference,Comment
n-Nonadecane,629-92-5,ΔvapH°,96.4,kJ/mol,N/A,"Ruzicka and Majer, 1994",AC
n-Nonadecane,629-92-5,ΔvapH°,95.8,kJ/mol,N/A,"Reid, 1972",AC
n-Nonadecane,629-92-5,Quantity,Value,Units,Method,Reference,Comment
n-Nonadecane,629-92-5,ΔsubH°,143.6,kJ/mol,C,"Morawetz, 1972",AC
n-Eicosane,112-95-8,Tboil,616.2,K,N/A,"Weast and Grasselli, 1989",BS
n-Eicosane,112-95-8,Tboil,582.9,K,N/A,"Tsakalotos, 1906",Uncertainty assigned by TRC =  5. K;TRC
n-Eicosane,112-95-8,Quantity,Value,Units,Method,Reference,Comment
n-Eicosane,112-95-8,Tfus,310. ± 1.,K,AVG,N/A,Average of 26 out of 30 values;Individual data points
n-Eicosane,112-95-8,Quantity,Value,Units,Method,Reference,Comment
n-Eicosane,112-95-8,Ttriple,309.64,K,N/A,"Marsh, 1987",Uncertainty assigned by TRC =  0.01 K; recommended as fixed point for thermometry;TRC
n-Eicosane,112-95-8,Ttriple,309.7,K,N/A,"Parks, Huffman, et al., 1930",Uncertainty assigned by TRC =  0.2 K;TRC
n-Eicosane,112-95-8,Quantity,Value,Units,Method,Reference,Comment
n-Eicosane,112-95-8,Tc,768. ± 8.,K,N/A,"Ambrose and Tsonopoulos, 1995",
n-Eicosane,112-95-8,Tc,767.5,K,N/A,"Nikitin, Pavlov, et al., 1994",Uncertainty assigned by TRC =  3. K;TRC
n-Eicosane,112-95-8,Quantity,Value,Units,Method,Reference,Comment
n-Eicosane,112-95-8,Pc,11. ± 2.,bar,N/A,"Ambrose and Tsonopoulos, 1995",
n-Eicosane,112-95-8,Pc,10.70,bar,N/A,"Nikitin, Pavlov, et al., 1994",Uncertainty assigned by TRC =  0.40 bar;TRC
n-Eicosane,112-95-8,Quantity,Value,Units,Method,Reference,Comment
n-Eicosane,112-95-8,ΔvapH°,102. ± 2.,kJ/mol,AVG,N/A,Average of 6 values;Individual data points
n-Eicosane,112-95-8,Quantity,Value,Units,Method,Reference,Comment
n-Eicosane,112-95-8,ΔsubH°,170.4,kJ/mol,C,"Morawetz, 1972",AC
Isopentane,78-78-4,Tboil,301.1 ± 0.2,K,AVG,N/A,Average of 67 out of 76 values;Individual data points
Isopentane,78-78-4,Quantity,Value,Units,Method,Reference,Comment
Isopentane,78-78-4,Tfus,113. ± 1.,K,AVG,N/A,Average of 10 values;Individual data points
Isopentane,78-78-4,Quantity,Value,Units,Method,Reference,Comment
Isopentane,78-78-4,Ttriple,113.37,K,N/A,"Guthrie and Huffman, 1943",Uncertainty assigned by TRC =  0.02 K;TRC
Isopentane,78-78-4,Ttriple,113.39,K,N/A,"Schumann, Aston, et al., 1942",Uncertainty assigned by TRC =  0.05 K;TRC
Isopentane,78-78-4,Ttriple,112.6,K,N/A,"Parks, Huffman, et al., 1930",Uncertainty assigned by TRC =  0.3 K;TRC
Isopentane,78-78-4,Quantity,Value,Units,Method,Reference,Comment
Isopentane,78-78-4,Tc,461. ± 5.,K,AVG,N/A,Average of 9 values;Individual data points
Isopentane,78-78-4,Quantity,Value,Units,Method,Reference,Comment
Isopentane,78-78-4,Pc,33.8 ± 0.5,bar,N/A,"Daubert, 1996",
Isopentane,78-78-4,Pc,33.81,bar,N/A,"Das, Reed, et al., 1977",Uncertainty assigned by TRC =  0.5066 bar;TRC
Isopentane,78-78-4,Pc,34.106,bar,N/A,"Vohra and Kobe, 1959",Uncertainty assigned by TRC =  0.1013 bar;TRC
Isopentane,78-78-4,Pc,33.355,bar,N/A,"Young, 1910",Uncertainty assigned by TRC =  0.667 bar;TRC
Isopentane,78-78-4,Pc,32.70,bar,N/A,"Altschul, 1893",Uncertainty assigned by TRC =  0.9807 bar;TRC
Isopentane,78-78-4,Quantity,Value,Units,Method,Reference,Comment
Isopentane,78-78-4,Vc,0.306,l/mol,N/A,"Daubert, 1996",
Isopentane,78-78-4,Quantity,Value,Units,Method,Reference,Comment
Isopentane,78-78-4,ρc,3.27 ± 0.05,mol/l,N/A,"Daubert, 1996",
Isopentane,78-78-4,ρc,3.247,mol/l,N/A,"Holcomb, Magee, et al., 1995",Uncertainty assigned by TRC =  0.06 mol/l;TRC
Isopentane,78-78-4,ρc,3.27,mol/l,N/A,"Das, Reed, et al., 1977",Uncertainty assigned by TRC =  0.03 mol/l;TRC
Isopentane,78-78-4,ρc,3.27,mol/l,N/A,"Vohra and Kobe, 1959",Uncertainty assigned by TRC =  0.1 mol/l;TRC
Isopentane,78-78-4,ρc,3.247,mol/l,N/A,"Young, 1910",Uncertainty assigned by TRC =  0.06 mol/l;TRC
Isopentane,78-78-4,Quantity,Value,Units,Method,Reference,Comment
Isopentane,78-78-4,ΔvapH°,25.22,kJ/mol,N/A,"Majer and Svoboda, 1985",
Isopentane,78-78-4,ΔvapH°,24.8,kJ/mol,N/A,"Reid, 1972",AC
Isopentane,78-78-4,ΔvapH°,24.8 ± 0.1,kJ/mol,V,"Scott, McCullough, et al., 1951",flow calorimeter and metal cycling vaporizer;ALS
Isopentane,78-78-4,ΔvapH°,25.0,kJ/mol,C,"Schumann, Aston, et al., 1942, 2",AC
Neopentane,463-82-1,Tboil,282.6 ± 0.5,K,AVG,N/A,Average of 17 values;Individual data points
Neopentane,463-82-1,Quantity,Value,Units,Method,Reference,Comment
Neopentane,463-82-1,Tfus,255. ± 3.,K,AVG,N/A,Average of 8 values;Individual data points
Neopentane,463-82-1,Quantity,Value,Units,Method,Reference,Comment
Neopentane,463-82-1,Ttriple,256.76,K,N/A,"Enokido, Shinoda, et al., 1969",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.02 K;TRC
Neopentane,463-82-1,Ttriple,256.77,K,N/A,"Streiff, 1964",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.03 K;TRC
Neopentane,463-82-1,Ttriple,256.53,K,N/A,"Aston and Messerly, 1936",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.02 K;TRC
Neopentane,463-82-1,Quantity,Value,Units,Method,Reference,Comment
Neopentane,463-82-1,Tc,433.8 ± 0.1,K,N/A,"Daubert, 1996",
Neopentane,463-82-1,Tc,433.8,K,N/A,"Majer and Svoboda, 1985",
Neopentane,463-82-1,Tc,433.8,K,N/A,"Dawson, Silberberg, et al., 1973",Uncertainty assigned by TRC =  0.2 K;TRC
Neopentane,463-82-1,Tc,433.75,K,N/A,"Partington, Rowlinson, et al., 1960","Uncertainty assigned by TRC =  0.1 K; Visual, THg;TRC"
Neopentane,463-82-1,Tc,433.75,K,N/A,"Beattie, Douslin, et al., 1951",Uncertainty assigned by TRC =  0.2 K;TRC
Neopentane,463-82-1,Quantity,Value,Units,Method,Reference,Comment
Neopentane,463-82-1,Pc,32.0 ± 0.1,bar,N/A,"Daubert, 1996",
Neopentane,463-82-1,Pc,31.963,bar,N/A,"Dawson, Silberberg, et al., 1973",Uncertainty assigned by TRC =  0.1013 bar;TRC
Neopentane,463-82-1,Pc,31.99,bar,N/A,"Beattie, Douslin, et al., 1951",Uncertainty assigned by TRC =  0.2027 bar;TRC
Neopentane,463-82-1,Quantity,Value,Units,Method,Reference,Comment
Neopentane,463-82-1,Vc,0.307,l/mol,N/A,"Daubert, 1996",
Neopentane,463-82-1,Vc,0.304,l/mol,N/A,"Beattie, Douslin, et al., 1951",Uncertainty assigned by TRC =  0.004 l/mol;TRC
Neopentane,463-82-1,Quantity,Value,Units,Method,Reference,Comment
Neopentane,463-82-1,ρc,3.26 ± 0.01,mol/l,N/A,"Daubert, 1996",
Neopentane,463-82-1,ρc,3.214,mol/l,N/A,"Dawson, Silberberg, et al., 1973",Uncertainty assigned by TRC =  0.03 mol/l;TRC
Neopentane,463-82-1,Quantity,Value,Units,Method,Reference,Comment
Neopentane,463-82-1,ΔvapH°,22.39,kJ/mol,N/A,"Majer and Svoboda, 1985",
Neopentane,463-82-1,ΔvapH°,21.8,kJ/mol,C,"Hossenlopp and Scott, 1981",AC
Neopentane,463-82-1,ΔvapH°,21.85,kJ/mol,N/A,"Reid, 1972",AC
Neopentane,463-82-1,ΔvapH°,22.4 ± 0.59,kJ/mol,V,"Good, 1970",ALS
2-Methylpentane,107-83-5,Tboil,334. ± 1.,K,AVG,N/A,Average of 71 out of 73 values;Individual data points
2-Methylpentane,107-83-5,Quantity,Value,Units,Method,Reference,Comment
2-Methylpentane,107-83-5,Tfus,120. ± 7.,K,AVG,N/A,Average of 21 values;Individual data points
2-Methylpentane,107-83-5,Quantity,Value,Units,Method,Reference,Comment
2-Methylpentane,107-83-5,Ttriple,119.55,K,N/A,"Douslin and Huffman, 1946",Uncertainty assigned by TRC =  0.07 K;TRC
2-Methylpentane,107-83-5,Ttriple,119.55,K,N/A,"Huffman, 1945",Uncertainty assigned by TRC =  0.03 K; based on To = 273.16 K;TRC
2-Methylpentane,107-83-5,Ttriple,119.7,K,N/A,"Stull, 1937",Uncertainty assigned by TRC =  0.1 K; measured by Wojciechowski;TRC
2-Methylpentane,107-83-5,Quantity,Value,Units,Method,Reference,Comment
2-Methylpentane,107-83-5,Tc,497.8 ± 0.4,K,AVG,N/A,Average of 10 values;Individual data points
2-Methylpentane,107-83-5,Quantity,Value,Units,Method,Reference,Comment
2-Methylpentane,107-83-5,Pc,30.35 ± 0.07,bar,AVG,N/A,Average of 6 values;Individual data points
2-Methylpentane,107-83-5,Quantity,Value,Units,Method,Reference,Comment
2-Methylpentane,107-83-5,Vc,0.368,l/mol,N/A,"Daubert, 1996",
2-Methylpentane,107-83-5,Quantity,Value,Units,Method,Reference,Comment
2-Methylpentane,107-83-5,ρc,2.72 ± 0.02,mol/l,N/A,"Daubert, 1996",
2-Methylpentane,107-83-5,ρc,2.734,mol/l,N/A,"Holcomb, Magee, et al., 1995",Uncertainty assigned by TRC =  0.05 mol/l;TRC
2-Methylpentane,107-83-5,ρc,2.72,mol/l,N/A,"Genco, Teja, et al., 1980",Uncertainty assigned by TRC =  0.06 mol/l;TRC
2-Methylpentane,107-83-5,ρc,2.73,mol/l,N/A,"Kay, 1946",Uncertainty assigned by TRC =  0.02 mol/l; by extrapolation of rectilinear diameter to Tc;TRC
2-Methylpentane,107-83-5,Quantity,Value,Units,Method,Reference,Comment
2-Methylpentane,107-83-5,ΔvapH°,29. ± 4.,kJ/mol,AVG,N/A,Average of 6 values;Individual data points
3-Methylpentane,96-14-0,Tboil,336.4 ± 0.4,K,AVG,N/A,Average of 53 out of 57 values;Individual data points
3-Methylpentane,96-14-0,Quantity,Value,Units,Method,Reference,Comment
3-Methylpentane,96-14-0,Tfus,155.15,K,N/A,"Hoog, Smittenberg, et al., 1937",Uncertainty assigned by TRC =  2. K;TRC
3-Methylpentane,96-14-0,Tfus,155.15,K,N/A,"Bruun and Hicks-Brunn, 1930",Uncertainty assigned by TRC =  1. K;TRC
3-Methylpentane,96-14-0,Quantity,Value,Units,Method,Reference,Comment
3-Methylpentane,96-14-0,Ttriple,110.25,K,N/A,"Finke and Messerly, 1973",Uncertainty assigned by TRC =  0.006 K; by extrapolation of 1/f to 0;TRC
3-Methylpentane,96-14-0,Quantity,Value,Units,Method,Reference,Comment
3-Methylpentane,96-14-0,Tc,504. ± 4.,K,AVG,N/A,Average of 8 values;Individual data points
3-Methylpentane,96-14-0,Quantity,Value,Units,Method,Reference,Comment
3-Methylpentane,96-14-0,Pc,31.1 ± 0.6,bar,AVG,N/A,Average of 6 values;Individual data points
3-Methylpentane,96-14-0,Quantity,Value,Units,Method,Reference,Comment
3-Methylpentane,96-14-0,Vc,0.368,l/mol,N/A,"Daubert, 1996",
3-Methylpentane,96-14-0,Quantity,Value,Units,Method,Reference,Comment
3-Methylpentane,96-14-0,ρc,2.72 ± 0.02,mol/l,N/A,"Daubert, 1996",
3-Methylpentane,96-14-0,ρc,2.72,mol/l,N/A,"Genco, Teja, et al., 1980",Uncertainty assigned by TRC =  0.06 mol/l;TRC
3-Methylpentane,96-14-0,ρc,2.73,mol/l,N/A,"Kay, 1946",Uncertainty assigned by TRC =  0.02 mol/l; by extrapolation of rectilinear diameter to Tc;TRC
3-Methylpentane,96-14-0,Quantity,Value,Units,Method,Reference,Comment
3-Methylpentane,96-14-0,ΔvapH°,30.3 ± 0.2,kJ/mol,AVG,N/A,Average of 6 values;Individual data points
"2,2-Dimethylbutane",75-83-2,Tboil,322.9 ± 0.1,K,AVG,N/A,Average of 46 out of 54 values;Individual data points
"2,2-Dimethylbutane",75-83-2,Quantity,Value,Units,Method,Reference,Comment
"2,2-Dimethylbutane",75-83-2,Tfus,173. ± 2.,K,AVG,N/A,Average of 24 out of 28 values;Individual data points
"2,2-Dimethylbutane",75-83-2,Quantity,Value,Units,Method,Reference,Comment
"2,2-Dimethylbutane",75-83-2,Ttriple,174. ± 2.,K,AVG,N/A,Average of 6 values;Individual data points
"2,2-Dimethylbutane",75-83-2,Quantity,Value,Units,Method,Reference,Comment
"2,2-Dimethylbutane",75-83-2,Tc,489.0 ± 0.5,K,AVG,N/A,Average of 7 values;Individual data points
"2,2-Dimethylbutane",75-83-2,Quantity,Value,Units,Method,Reference,Comment
"2,2-Dimethylbutane",75-83-2,Pc,31.0 ± 0.2,bar,N/A,"Daubert, 1996",
"2,2-Dimethylbutane",75-83-2,Pc,31.0236,bar,N/A,"Genco, Teja, et al., 1980",Uncertainty assigned by TRC =  0.05 bar;TRC
"2,2-Dimethylbutane",75-83-2,Pc,31.02,bar,N/A,"Kay and Young, 1975",Uncertainty assigned by TRC =  0.03 bar;TRC
"2,2-Dimethylbutane",75-83-2,Pc,31.0764,bar,N/A,"Kay, 1946",Uncertainty assigned by TRC =  0.1013 bar;TRC
"2,2-Dimethylbutane",75-83-2,Quantity,Value,Units,Method,Reference,Comment
"2,2-Dimethylbutane",75-83-2,Vc,0.358,l/mol,N/A,"Daubert, 1996",
"2,2-Dimethylbutane",75-83-2,Vc,0.358,l/mol,N/A,"Genco, Teja, et al., 1980",Uncertainty assigned by TRC =  0.001 l/mol;TRC
"2,2-Dimethylbutane",75-83-2,Quantity,Value,Units,Method,Reference,Comment
"2,2-Dimethylbutane",75-83-2,ρc,2.80 ± 0.02,mol/l,N/A,"Daubert, 1996",
"2,2-Dimethylbutane",75-83-2,ρc,2.79,mol/l,N/A,"Kay, 1946",Uncertainty assigned by TRC =  0.02 mol/l; by extrapolation of rectilinear diameter to Tc;TRC
"2,2-Dimethylbutane",75-83-2,Quantity,Value,Units,Method,Reference,Comment
"2,2-Dimethylbutane",75-83-2,ΔvapH°,27.93,kJ/mol,N/A,"Majer and Svoboda, 1985",
"2,2-Dimethylbutane",75-83-2,ΔvapH°,27.7,kJ/mol,N/A,"Reid, 1972",AC
"2,2-Dimethylbutane",75-83-2,ΔvapH°,27.68,kJ/mol,C,"Osborne and Ginnings, 1947",ALS
"2,3-Dimethylbutane",79-29-8,Tboil,331.2 ± 0.2,K,AVG,N/A,Average of 65 out of 73 values;Individual data points
"2,3-Dimethylbutane",79-29-8,Quantity,Value,Units,Method,Reference,Comment
"2,3-Dimethylbutane",79-29-8,Tfus,143. ± 6.,K,AVG,N/A,Average of 28 out of 29 values;Individual data points
"2,3-Dimethylbutane",79-29-8,Quantity,Value,Units,Method,Reference,Comment
"2,3-Dimethylbutane",79-29-8,Ttriple,144. ± 6.,K,AVG,N/A,Average of 6 values;Individual data points
"2,3-Dimethylbutane",79-29-8,Quantity,Value,Units,Method,Reference,Comment
"2,3-Dimethylbutane",79-29-8,Tc,500.1 ± 0.5,K,AVG,N/A,Average of 11 values;Individual data points
"2,3-Dimethylbutane",79-29-8,Quantity,Value,Units,Method,Reference,Comment
"2,3-Dimethylbutane",79-29-8,Pc,31.5 ± 0.8,bar,AVG,N/A,Average of 8 values;Individual data points
"2,3-Dimethylbutane",79-29-8,Quantity,Value,Units,Method,Reference,Comment
"2,3-Dimethylbutane",79-29-8,Vc,0.361,l/mol,N/A,"Daubert, 1996",
"2,3-Dimethylbutane",79-29-8,Vc,0.360,l/mol,N/A,"Genco, Teja, et al., 1980",Uncertainty assigned by TRC =  0.001 l/mol;TRC
"2,3-Dimethylbutane",79-29-8,Quantity,Value,Units,Method,Reference,Comment
"2,3-Dimethylbutane",79-29-8,ρc,2.77 ± 0.02,mol/l,N/A,"Daubert, 1996",
"2,3-Dimethylbutane",79-29-8,ρc,2.80,mol/l,N/A,"Kay, 1946",Uncertainty assigned by TRC =  0.02 mol/l; by extrapolation of rectilinear diameter to Tc;TRC
"2,3-Dimethylbutane",79-29-8,ρc,2.798,mol/l,N/A,"Young, 1910",Uncertainty assigned by TRC =  0.06 mol/l;TRC
"2,3-Dimethylbutane",79-29-8,Quantity,Value,Units,Method,Reference,Comment
"2,3-Dimethylbutane",79-29-8,ΔvapH°,29.33,kJ/mol,N/A,"Majer and Svoboda, 1985",
"2,3-Dimethylbutane",79-29-8,ΔvapH°,29.1,kJ/mol,N/A,"Reid, 1972",AC
"2,3-Dimethylbutane",79-29-8,ΔvapH°,29.12,kJ/mol,C,"Osborne and Ginnings, 1947",ALS
2-Methylhexane,591-76-4,Tboil,363.2 ± 0.5,K,AVG,N/A,Average of 44 out of 48 values;Individual data points
2-Methylhexane,591-76-4,Quantity,Value,Units,Method,Reference,Comment
2-Methylhexane,591-76-4,Tfus,154.7 ± 0.6,K,AVG,N/A,Average of 22 out of 23 values;Individual data points
2-Methylhexane,591-76-4,Quantity,Value,Units,Method,Reference,Comment
2-Methylhexane,591-76-4,Ttriple,154.6 ± 0.8,K,AVG,N/A,Average of 6 values;Individual data points
2-Methylhexane,591-76-4,Quantity,Value,Units,Method,Reference,Comment
2-Methylhexane,591-76-4,Tc,530.5 ± 0.5,K,AVG,N/A,Average of 6 values;Individual data points
2-Methylhexane,591-76-4,Quantity,Value,Units,Method,Reference,Comment
2-Methylhexane,591-76-4,Pc,27.4 ± 0.2,bar,N/A,"Daubert, 1996",
2-Methylhexane,591-76-4,Pc,27.50,bar,N/A,"Abara, Jennings, et al., 1988",Uncertainty assigned by TRC =  0.25 bar;TRC
2-Methylhexane,591-76-4,Pc,27.328,bar,N/A,"McMicking and Kay, 1965",Uncertainty assigned by TRC =  0.4053 bar;TRC
2-Methylhexane,591-76-4,Pc,27.5604,bar,N/A,"Edgar and Calingaert, 1929",Uncertainty assigned by TRC =  0.5066 bar; measured by Keys and Kleinschmidt;TRC
2-Methylhexane,591-76-4,Quantity,Value,Units,Method,Reference,Comment
2-Methylhexane,591-76-4,Vc,0.421,l/mol,N/A,"Daubert, 1996",
2-Methylhexane,591-76-4,Quantity,Value,Units,Method,Reference,Comment
2-Methylhexane,591-76-4,ρc,2.38 ± 0.02,mol/l,N/A,"Daubert, 1996",
2-Methylhexane,591-76-4,ρc,2.38,mol/l,N/A,"McMicking and Kay, 1965",Uncertainty assigned by TRC =  0.05 mol/l; ~;TRC
2-Methylhexane,591-76-4,Quantity,Value,Units,Method,Reference,Comment
2-Methylhexane,591-76-4,ΔvapH°,34.98,kJ/mol,N/A,"Majer and Svoboda, 1985",
2-Methylhexane,591-76-4,ΔvapH°,34.9 ± 0.1,kJ/mol,C,"Majer, Svoboda, et al., 1979",AC
2-Methylhexane,591-76-4,ΔvapH°,34.8,kJ/mol,N/A,"Reid, 1972",AC
2-Methylhexane,591-76-4,ΔvapH°,34.8,kJ/mol,N/A,"Huffman, Gross, et al., 1961",Based on data from 273. to 318. K.;AC
3-Methylhexane,589-34-4,Tboil,365.0 ± 0.3,K,AVG,N/A,Average of 34 out of 38 values;Individual data points
3-Methylhexane,589-34-4,Quantity,Value,Units,Method,Reference,Comment
3-Methylhexane,589-34-4,Tfus,153.75,K,N/A,"Timmermans, 1921",Uncertainty assigned by TRC =  0.5 K;TRC
3-Methylhexane,589-34-4,Quantity,Value,Units,Method,Reference,Comment
3-Methylhexane,589-34-4,Tc,535.2 ± 0.4,K,N/A,"Daubert, 1996",
3-Methylhexane,589-34-4,Tc,535.2,K,N/A,"Majer and Svoboda, 1985",
3-Methylhexane,589-34-4,Tc,535.19,K,N/A,"McMicking and Kay, 1965",Uncertainty assigned by TRC =  0.4 K;TRC
3-Methylhexane,589-34-4,Tc,535.55,K,N/A,"Edgar and Calingaert, 1929",Uncertainty assigned by TRC =  0.5 K; measured by Keys and Kleinschmidt;TRC
3-Methylhexane,589-34-4,Quantity,Value,Units,Method,Reference,Comment
3-Methylhexane,589-34-4,Pc,28.1 ± 0.4,bar,N/A,"Daubert, 1996",
3-Methylhexane,589-34-4,Pc,28.135,bar,N/A,"McMicking and Kay, 1965",Uncertainty assigned by TRC =  0.4053 bar;TRC
3-Methylhexane,589-34-4,Pc,28.50,bar,N/A,"Edgar and Calingaert, 1929",Uncertainty assigned by TRC =  51.334 bar; measured by Keys and Kleinschmidt;TRC
3-Methylhexane,589-34-4,Quantity,Value,Units,Method,Reference,Comment
3-Methylhexane,589-34-4,Vc,0.404,l/mol,N/A,"Daubert, 1996",
3-Methylhexane,589-34-4,Quantity,Value,Units,Method,Reference,Comment
3-Methylhexane,589-34-4,ρc,2.47 ± 0.04,mol/l,N/A,"Daubert, 1996",
3-Methylhexane,589-34-4,ρc,2.48,mol/l,N/A,"McMicking and Kay, 1965",Uncertainty assigned by TRC =  0.05 mol/l;TRC
3-Methylhexane,589-34-4,Quantity,Value,Units,Method,Reference,Comment
3-Methylhexane,589-34-4,ΔvapH°,35.16,kJ/mol,N/A,"Majer and Svoboda, 1985",
3-Methylhexane,589-34-4,ΔvapH°,35.1 ± 0.1,kJ/mol,C,"Majer, Svoboda, et al., 1979",AC
3-Methylhexane,589-34-4,ΔvapH°,35.1,kJ/mol,N/A,"Reid, 1972",AC
"2,2,4-Trimethylpentane",540-84-1,Tboil,372.4 ± 0.2,K,AVG,N/A,Average of 49 out of 52 values;Individual data points
"2,2,4-Trimethylpentane",540-84-1,Quantity,Value,Units,Method,Reference,Comment
"2,2,4-Trimethylpentane",540-84-1,Tfus,165.77 ± 0.06,K,AVG,N/A,Average of 37 out of 44 values;Individual data points
"2,2,4-Trimethylpentane",540-84-1,Quantity,Value,Units,Method,Reference,Comment
"2,2,4-Trimethylpentane",540-84-1,Ttriple,165.760,K,N/A,"Streiff, 1959",Uncertainty assigned by TRC =  0.4 K;TRC
"2,2,4-Trimethylpentane",540-84-1,Ttriple,165.3,K,N/A,"Parks, Huffman, et al., 1930",Uncertainty assigned by TRC =  0.2 K;TRC
"2,2,4-Trimethylpentane",540-84-1,Quantity,Value,Units,Method,Reference,Comment
"2,2,4-Trimethylpentane",540-84-1,Tc,543.9 ± 0.4,K,AVG,N/A,Average of 6 values;Individual data points
"2,2,4-Trimethylpentane",540-84-1,Quantity,Value,Units,Method,Reference,Comment
"2,2,4-Trimethylpentane",540-84-1,Pc,25.7 ± 0.2,bar,N/A,"Daubert, 1996",
"2,2,4-Trimethylpentane",540-84-1,Pc,25.676,bar,N/A,"McMicking and Kay, 1965",Uncertainty assigned by TRC =  0.4053 bar;TRC
"2,2,4-Trimethylpentane",540-84-1,Pc,25.6433,bar,N/A,"Kay and Warzel, 1951",Uncertainty assigned by TRC =  0.1013 bar;TRC
"2,2,4-Trimethylpentane",540-84-1,Pc,25.8379,bar,N/A,"Beattie and Edwards, 1948",Uncertainty assigned by TRC =  0.1519 bar; from observed isotherms in critical region;TRC
"2,2,4-Trimethylpentane",540-84-1,Quantity,Value,Units,Method,Reference,Comment
"2,2,4-Trimethylpentane",540-84-1,Vc,0.468,l/mol,N/A,"Daubert, 1996",
"2,2,4-Trimethylpentane",540-84-1,Vc,0.482,l/mol,N/A,"Beattie and Edwards, 1948",Uncertainty assigned by TRC =  0.02 l/mol; from observed isotherms in the critical region;TRC
"2,2,4-Trimethylpentane",540-84-1,Quantity,Value,Units,Method,Reference,Comment
"2,2,4-Trimethylpentane",540-84-1,ρc,2.14 ± 0.02,mol/l,N/A,"Daubert, 1996",
"2,2,4-Trimethylpentane",540-84-1,ρc,2.13,mol/l,N/A,"McMicking and Kay, 1965",Uncertainty assigned by TRC =  0.04 mol/l;TRC
"2,2,4-Trimethylpentane",540-84-1,ρc,2.13,mol/l,N/A,"Kay and Warzel, 1951",Uncertainty assigned by TRC =  0.03 mol/l;TRC
